hrtf_type,dataset,name_gui,name_short,url,url_alternative,gdrive_url_high,flip_polarity,ash_version_reference,local_version,subject,attribution,license,comments,name_gui_original,name_short_original,default,id
Human Listener,ARI (ALTB),nh12,ARI-(ALTB)-nh12,https://sofacoustics.org/data/database/ari (altb)/dtf_nh12.sofa,https://drive.google.com/file/d/1_yWUv6UwALW8bcFpxz_VoQT7zpUQ40_5/view?usp=drive_link,,no,3.1.0,1.0.1,nh12,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,411
Human Listener,ARI (ALTB),nh14,ARI-(ALTB)-nh14,https://sofacoustics.org/data/database/ari (altb)/dtf_nh14.sofa,https://drive.google.com/file/d/1e6UB6_AVdDhXXl8cg9NpUMc2DXkptp7k/view?usp=drive_link,,no,3.1.0,1.0.1,nh14,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,412
Human Listener,ARI (ALTB),nh15,ARI-(ALTB)-nh15,https://sofacoustics.org/data/database/ari (altb)/dtf_nh15.sofa,https://drive.google.com/file/d/1Pz7YvdCZbsBDPbGN9leeF-MfjKN5mg0Q/view?usp=drive_link,,no,3.1.0,1.0.1,nh15,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,413
Human Listener,ARI (ALTB),nh25,ARI-(ALTB)-nh25,https://sofacoustics.org/data/database/ari (altb)/dtf_nh25.sofa,https://drive.google.com/file/d/1BXawkLyGbAiZJUrKNZ3rCbsR0xaiCazG/view?usp=drive_link,,no,3.1.0,1.0.1,nh25,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,414
Human Listener,ARI (ALTB),nh4,ARI-(ALTB)-nh4,https://sofacoustics.org/data/database/ari (altb)/dtf_nh4.sofa,https://drive.google.com/file/d/13MMR-yjmhzACOyQ3M6KpoF51OarLCchD/view?usp=drive_link,,no,3.1.0,1.0.1,nh4,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,415
Human Listener,ARI (ALTB),nh5,ARI-(ALTB)-nh5,https://sofacoustics.org/data/database/ari (altb)/dtf_nh5.sofa,https://drive.google.com/file/d/1CtLxAqOswlN1ihM7jEYzdffXdbnKe99w/view?usp=drive_link,,no,3.1.0,1.0.1,nh5,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,416
Human Listener,ARI (ALTB),nh57,ARI-(ALTB)-nh57,https://sofacoustics.org/data/database/ari (altb)/dtf_nh57.sofa,https://drive.google.com/file/d/1neFWII5ncDmLXdltpt_4NEWDauGG_wE2/view?usp=drive_link,,no,3.1.0,1.0.1,nh57,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,417
Human Listener,ARI (ALTB),nh62,ARI-(ALTB)-nh62,https://sofacoustics.org/data/database/ari (altb)/dtf_nh62.sofa,https://drive.google.com/file/d/1BgdV7l-VEbvY8h0CNaPAsfwTGAWwvMm7/view?usp=drive_link,,no,3.1.0,1.0.1,nh62,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,418
Human Listener,ARI (ALTB),nh64,ARI-(ALTB)-nh64,https://sofacoustics.org/data/database/ari (altb)/dtf_nh64.sofa,https://drive.google.com/file/d/1VGvSOCmU0nbQK04ANF_Qc-7wHQA3j1b5/view?usp=drive_link,,no,3.1.0,1.0.1,nh64,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,419
Human Listener,ARI (ALTB),nh68,ARI-(ALTB)-nh68,https://sofacoustics.org/data/database/ari (altb)/dtf_nh68.sofa,https://drive.google.com/file/d/10rm4kUj8JWD5mg7f1Nzyle4UCo5DC0wR/view?usp=drive_link,,no,3.1.0,1.0.1,nh68,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,420
Human Listener,ARI (ALTB),nh72,ARI-(ALTB)-nh72,https://sofacoustics.org/data/database/ari (altb)/dtf_nh72.sofa,https://drive.google.com/file/d/1hxhprv1Ks2TUTc79lusjJfiBQZP61E4x/view?usp=drive_link,,no,3.1.0,1.0.1,nh72,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,421
Human Listener,ARI (LAS),nh1011,ARI-(LAS)-nh1011,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1011.sofa,,,no,3.1.0,1.0.0,nh1011,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,422
Human Listener,ARI (LAS),nh1012,ARI-(LAS)-nh1012,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1012.sofa,,,no,3.1.0,1.0.0,nh1012,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,423
Human Listener,ARI (LAS),nh1016,ARI-(LAS)-nh1016,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1016.sofa,,,no,3.1.0,1.0.0,nh1016,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,424
Human Listener,ARI (LAS),nh1017,ARI-(LAS)-nh1017,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1017.sofa,,,no,3.1.0,1.0.0,nh1017,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,425
Human Listener,ARI (LAS),nh1018,ARI-(LAS)-nh1018,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1018.sofa,,,no,3.1.0,1.0.0,nh1018,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,426
Human Listener,ARI (LAS),nh1023,ARI-(LAS)-nh1023,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1023.sofa,,,no,3.1.0,1.0.0,nh1023,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,427
Human Listener,ARI (LAS),nh1045,ARI-(LAS)-nh1045,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1045.sofa,,,no,3.1.0,1.0.0,nh1045,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,428
Human Listener,ARI (LAS),nh1047,ARI-(LAS)-nh1047,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1047.sofa,,,no,3.1.0,1.0.0,nh1047,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,429
Human Listener,ARI (LAS),nh1048,ARI-(LAS)-nh1048,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1048.sofa,,,no,3.1.0,1.0.0,nh1048,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,430
Human Listener,ARI (LAS),nh1049,ARI-(LAS)-nh1049,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1049.sofa,,,no,3.1.0,1.0.0,nh1049,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,431
Human Listener,ARI (LAS),nh1050,ARI-(LAS)-nh1050,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1050.sofa,,,no,3.1.0,1.0.0,nh1050,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,432
Human Listener,ARI (LAS),nh1051,ARI-(LAS)-nh1051,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1051.sofa,,,no,3.1.0,1.0.0,nh1051,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,433
Human Listener,ARI (LAS),nh1052,ARI-(LAS)-nh1052,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1052.sofa,,,no,3.1.0,1.0.0,nh1052,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,434
Human Listener,ARI (LAS),nh1053,ARI-(LAS)-nh1053,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1053.sofa,,,no,3.1.0,1.0.0,nh1053,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,435
Human Listener,ARI (LAS),nh1054,ARI-(LAS)-nh1054,https://sofacoustics.org/data/database/ari (las)/dtf las_nh1054.sofa,,,no,3.1.0,1.0.0,nh1054,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,436
Human Listener,ARI (LAS),nh214,ARI-(LAS)-nh214,https://sofacoustics.org/data/database/ari (las)/dtf las_nh214.sofa,,,no,3.1.0,1.0.0,nh214,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,437
Human Listener,ARI (LAS),nh257,ARI-(LAS)-nh257,https://sofacoustics.org/data/database/ari (las)/dtf las_nh257.sofa,,,no,3.1.0,1.0.0,nh257,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,438
Human Listener,ARI (LAS),nh4,ARI-(LAS)-nh4,https://sofacoustics.org/data/database/ari (las)/dtf las_nh4.sofa,,,no,3.1.0,1.0.0,nh4,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,439
Human Listener,ARI (LAS),nh5,ARI-(LAS)-nh5,https://sofacoustics.org/data/database/ari (las)/dtf las_nh5.sofa,,,no,3.1.0,1.0.0,nh5,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,440
Human Listener,ARI (LAS),nh603,ARI-(LAS)-nh603,https://sofacoustics.org/data/database/ari (las)/dtf las_nh603.sofa,,,no,3.1.0,1.0.0,nh603,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,441
Human Listener,ARI (LAS),nh714,ARI-(LAS)-nh714,https://sofacoustics.org/data/database/ari (las)/dtf las_nh714.sofa,,,no,3.1.0,1.0.0,nh714,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,442
Human Listener,ARI (LAS),nh742,ARI-(LAS)-nh742,https://sofacoustics.org/data/database/ari (las)/dtf las_nh742.sofa,,,no,3.1.0,1.0.0,nh742,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,443
Human Listener,ARI (LAS),nh890,ARI-(LAS)-nh890,https://sofacoustics.org/data/database/ari (las)/dtf las_nh890.sofa,,,no,3.1.0,1.0.0,nh890,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,444
Human Listener,ARI (LAS),nh911,ARI-(LAS)-nh911,https://sofacoustics.org/data/database/ari (las)/dtf las_nh911.sofa,,,no,3.1.0,1.0.0,nh911,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,445
Human Listener,ARI (LAS),nh912,ARI-(LAS)-nh912,https://sofacoustics.org/data/database/ari (las)/dtf las_nh912.sofa,,,no,3.1.0,1.0.0,nh912,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,446
Human Listener,ARI (LAS),nh916,ARI-(LAS)-nh916,https://sofacoustics.org/data/database/ari (las)/dtf las_nh916.sofa,,,no,3.1.0,1.0.0,nh916,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,447
Human Listener,ARI (LAS),nh919,ARI-(LAS)-nh919,https://sofacoustics.org/data/database/ari (las)/dtf las_nh919.sofa,,,no,3.1.0,1.0.0,nh919,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,448
Human Listener,ARI (LAS),nh92,ARI-(LAS)-nh92,https://sofacoustics.org/data/database/ari (las)/dtf las_nh92.sofa,,,no,3.1.0,1.0.0,nh92,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,449
Human Listener,ARI (LAS),nh929,ARI-(LAS)-nh929,https://sofacoustics.org/data/database/ari (las)/dtf las_nh929.sofa,,,no,3.1.0,1.0.0,nh929,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,450
Human Listener,ARI (LAS),nh938,ARI-(LAS)-nh938,https://sofacoustics.org/data/database/ari (las)/dtf las_nh938.sofa,,,no,3.1.0,1.0.0,nh938,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,451
Human Listener,ARI (LAS),nh939,ARI-(LAS)-nh939,https://sofacoustics.org/data/database/ari (las)/dtf las_nh939.sofa,,,no,3.1.0,1.0.0,nh939,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,452
Human Listener,ARI (LAS),nh940,ARI-(LAS)-nh940,https://sofacoustics.org/data/database/ari (las)/dtf las_nh940.sofa,,,no,3.1.0,1.0.0,nh940,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,453
Human Listener,ARI (LAS),nh942,ARI-(LAS)-nh942,https://sofacoustics.org/data/database/ari (las)/dtf las_nh942.sofa,,,no,3.1.0,1.0.0,nh942,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,454
Human Listener,ARI (LAS),nh943,ARI-(LAS)-nh943,https://sofacoustics.org/data/database/ari (las)/dtf las_nh943.sofa,,,no,3.1.0,1.0.0,nh943,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,455
Human Listener,ARI (LAS),nh945,ARI-(LAS)-nh945,https://sofacoustics.org/data/database/ari (las)/dtf las_nh945.sofa,,,no,3.1.0,1.0.0,nh945,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,456
Human Listener,ARI (LAS),nh946,ARI-(LAS)-nh946,https://sofacoustics.org/data/database/ari (las)/dtf las_nh946.sofa,,,no,3.1.0,1.0.0,nh946,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,457
Human Listener,ARI (LAS),nh948,ARI-(LAS)-nh948,https://sofacoustics.org/data/database/ari (las)/dtf las_nh948.sofa,,,no,3.1.0,1.0.0,nh948,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,458
Human Listener,ARI (LAS),nh949,ARI-(LAS)-nh949,https://sofacoustics.org/data/database/ari (las)/dtf las_nh949.sofa,,,no,3.1.0,1.0.0,nh949,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,459
Human Listener,ARI (LAS),nh950,ARI-(LAS)-nh950,https://sofacoustics.org/data/database/ari (las)/dtf las_nh950.sofa,,,no,3.1.0,1.0.0,nh950,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,460
Human Listener,ARI (LAS),nh953,ARI-(LAS)-nh953,https://sofacoustics.org/data/database/ari (las)/dtf las_nh953.sofa,,,no,3.1.0,1.0.0,nh953,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,461
Human Listener,ARI (LAS),nh956,ARI-(LAS)-nh956,https://sofacoustics.org/data/database/ari (las)/dtf las_nh956.sofa,,,no,3.1.0,1.0.0,nh956,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,462
Human Listener,ARI (LAS),nh957,ARI-(LAS)-nh957,https://sofacoustics.org/data/database/ari (las)/dtf las_nh957.sofa,,,no,3.1.0,1.0.0,nh957,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,463
Human Listener,ARI (LAS),nh958,ARI-(LAS)-nh958,https://sofacoustics.org/data/database/ari (las)/dtf las_nh958.sofa,,,no,3.1.0,1.0.0,nh958,"Majdak, Piotr & Masiero, Bruno & Fels, Janina. (2013). Sound localization in individualized and non-individualized crosstalk cancellation systems. The Journal of the Acoustical Society of America. 133. 2055-68. 10.1121/1.4792355. ","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,464
